Inputs:
Heavy oil | 314.5409/s
Steam turbine(Q2)    | 0.0144/s
Steel plate          | 54.7734/s
Steel plate(Q4)      | (+0.2216/s)
Steel plate(Q5)      | (+0.0392/s)
Steel plate(Q3)      | (+1.2386/s)
Steel plate(Q2)      | 5.5654/s
Stone                | 35.2989/s (+30.886496)
Stone brick(Q5)      | (+0.0007/s)
Substation           | 4.7481/s
Substation(Q4)       | 0.0154/s
Substation(Q5)       | 0.0017/s
Substation(Q3)       | 0.1542/s
Substation(Q2)       | 1.0744/s
Sulfur               | 0.0085/s
Sulfuric acid        | 0.0951/s
Superconductor(Q4)   | 0.0119/s
Superconductor(Q5)   | 0.0028/s
Superconductor(Q3)   | 0.0244/s
Transport belt       | 4.4293/s
Transport belt(Q4)   | 0.0051/s
Transport belt(Q5)   | 0.0018/s
Transport belt(Q3)   | 0.0147/s
Transport belt(Q2)   | 0.0893/s
Water                | 166.8648/s

Surpluses:
Battery              | 35.2989/s
Concrete             | 28.5332/s
Holmium plate(Q4)    | 0.1966/s
Holmium plate(Q5)    | 0.0324/s
Holmium plate(Q3)    | 1.1000/s
Ice                  | 35.7803/s
Iron gear wheel      | 42.8529/s
Refined concrete(Q4) | 0.0660/s
Refined concrete(Q3) | 0.3688/s
Solid fuel           | 61.7730/s
Steel plate(Q4)      | 0.2216/s
Steel plate(Q5)      | 0.0393/s
Steel plate(Q3)      | 1.2386/s
Stone                | 30.8865/s
Stone brick(Q5)      | 0.0007/s

Symbols used:
ElectricPower    | 5908895.3263
Asm 2            | 47.0518
Asm 3            | 0.1021
Beacon           | 55.4546
Big mining drill | 40.2955
Chem plant       | 83.9213
Electric furnace | 0.0001
EMP              | 15.2614
Foundry          | 3.8994
Prod             | 28.3921
Prod 2           | 0.0051
Prod 2(Q4)       | 0.0707
Prod 2(Q5)       | 0.0291
Prod 2(Q3)       | 0.0374
Qual             | 91.7635
Qual 2           | 43.8805
Qual 2(Q5)       | 0.1537
Qual 2(Q2)       | 22.0390
Qual 3           | 21.1106
Qual 3(Q5)       | 0.0048
Qual 3(Q3)       | 6.7519
Qual 3(Q2)       | 18.3181
Recycler         | 221.4821
Speed            | 164.0408
Speed 2          | 62.4963
Speed 3          | 48.4129
